sku_name,financial_lost_by_product_in_2024
Rapid Test HbsAg,24174000.0
Urine Stick 10 Parameter,19189000.0
Benang Catgut 2-0,17976000.0
IV Catheter 22G,16345500.0
Handscoon Steril 6.5,15645000.0
Handscoon Steril 7.5,12801000.0
Kursi Roda Standar,9219000.0
Glukometer Set,7980000.0
Tiang Infus Stainless 5-Roda,6207500.0
Pulse Oximeter,5077000.0
Stethoscope Anak,2761000.0
Jarum Vacutainer 21G,2621000.0
Selimut Pasien Rumah Sakit,2572000.0
Tensimeter Manual Dewasa,2377000.0
Duk Operasi 80x90cm,2292500.0
Gunting Bedah Bengkok 14cm,2270000.0
Holder Vacutainer,2127500.0
IV Catheter 18G,1992000.0
Stethoscope Dewasa,1834000.0
Timbangan Bayi Digital,1587000.0
Tensimeter Digital Lengan,1468000.0
Klem Arteri Bengkok,1440000.0
Baju Pasien Dewasa,1301500.0
Bantal Angin Anti Decubitus,1290000.0
NGT 16Fr,1289000.0
Urinal Pria Plastik,1122000.0
Syringe 1ml,1116000.0
Pinset Bedah 14cm,912000.0
Tabung Vacutainer Citrate,875000.0
Objek Glass Frosted,855000.0
Bedpan Plastik Dewasa,808500.0
Tabung Vacutainer Plain,478000.0
Infus Set Anak,395500.0
Penlight Diagnostik,364000.0
Spalk Lengan Anak,252000.0
Pot Urine 60ml Bertutup,222000.0
Sarung Bantal Pasien,186000.0
Infus Set Dewasa,84000.0
