sku_name,total_records
Benang Catgut 2-0,3
Syringe 1ml,3
Urine Stick 10 Parameter,3
Infus Set Anak,3
Selimut Pasien Rumah Sakit,3
NGT 16Fr,2
Jarum Vacutainer 21G,2
Baju Pasien Dewasa,2
Gunting Bedah Bengkok 14cm,2
Duk Operasi 80x90cm,2
Tensimeter Manual Dewasa,2
Pulse Oximeter,2
IV Catheter 22G,2
Rapid Test HbsAg,2
Holder Vacutainer,2
Glukometer Set,2
Tensimeter Digital Lengan,1
IV Catheter 18G,1
Kursi Roda Standar,1
Stethoscope Anak,1
Bedpan Plastik Dewasa,1
Timbangan Bayi Digital,1
Urinal Pria Plastik,1
Tabung Vacutainer Citrate,1
Spalk Lengan Anak,1
Tabung Vacutainer Plain,1
Stethoscope Dewasa,1
Handscoon Steril 6.5,1
Penlight Diagnostik,1
Objek Glass Frosted,1
Handscoon Steril 7.5,1
Pinset Bedah 14cm,1
Pot Urine 60ml Bertutup,1
Bantal Angin Anti Decubitus,1
Klem Arteri Bengkok,1
Infus Set Dewasa,1
Sarung Bantal Pasien,1
Tiang Infus Stainless 5-Roda,1
