region_cleaned,sku_name,value_return
Bekasi,Handscoon Steril 7.5,12801000.0
Bekasi,Urine Stick 10 Parameter,18473000.0
Bogor,Tiang Infus Stainless 5-Roda,6207500.0
Bogor,IV Catheter 22G,14563500.0
Jakarta Barat,Kursi Roda Standar,9219000.0
Jakarta Barat,Rapid Test HbsAg,8195000.0
Jakarta Barat,Pulse Oximeter,4650000.0
Jakarta Pusat,Handscoon Steril 6.5,15645000.0
Jakarta Selatan,Glukometer Set,6300000.0
Jakarta Utara,Benang Catgut 2-0,10678500.0
Jakarta Utara,Benang Catgut 2-0,5537000.0
Tangerang,Rapid Test HbsAg,15979000.0
