retur_id,invoice_id,sku_id,customer_id,return_date,sku_name,kategori,value_return,return_reason_cleaned,customer_type_cleaned,region_cleaned,upper_bound
RT00042,010029,D001,RSP053,2024-03-02,Tensimeter Digital Lengan,Diagnostik,1468000.0,Barang Rusak,RS Pemerintah,Jakarta Utara,4107875.0
RT00046,010092,B002,RSS044,2024-05-14,Gunting Bedah Bengkok 14cm,Bedah & Tindakan,417500.0,Salah Pesan Customer,RS Swasta,Jakarta Selatan,4107875.0
RT00021,009825,L002,RSS056,2024-11-22,Tabung Vacutainer Plain,Laboratorium,478000.0,Salah Input Sistem,RS Swasta,Bekasi,4107875.0
RT00023,009861,R007,KLN012,2024-12-23,Tiang Infus Stainless 5-Roda,Perawatan & Rawat Inap,6207500.0,Salah Pesan Customer,Klinik,Bogor,4107875.0
RT00027,009902,C020,KLN059,2024-08-06,Spalk Lengan Anak,Consumable,252000.0,Salah Input Sistem,Klinik,Jakarta Timur,4107875.0
RT00024,009867,R005,KLN067,2024-09-14,Bantal Angin Anti Decubitus,Perawatan & Rawat Inap,1290000.0,Salah Pesan Customer,Klinik,Jakarta Barat,4107875.0
RT00005,009543,L010,RSP012,2024-08-22,Objek Glass Frosted,Laboratorium,855000.0,Salah Input Sistem,RS Pemerintah,Bekasi,4107875.0
RT00053,010143,D007,RSS004,2024-06-05,Rapid Test HbsAg,Diagnostik,8195000.0,Salah Input Sistem,RS Swasta,Jakarta Barat,4107875.0
RT00055,010155,D003,RSS058,2024-07-04,Pulse Oximeter,Diagnostik,4650000.0,Salah Input Sistem,RS Swasta,Jakarta Barat,4107875.0
RT00037,009970,D011,KLN015,2024-06-16,Urine Stick 10 Parameter,Diagnostik,18473000.0,Salah Pesan Customer,Klinik,Bekasi,4107875.0
RT00045,010078,L004,RSP017,2024-12-09,Holder Vacutainer,Laboratorium,367500.0,Salah Input Sistem,RS Pemerintah,Jakarta Barat,4107875.0
RT00006,009548,R011,RSS038,2024-12-04,Selimut Pasien Rumah Sakit,Perawatan & Rawat Inap,1045000.0,Salah Pesan Customer,RS Swasta,Jakarta Selatan,4107875.0
RT00015,009669,D014,KLN028,2024-01-26,Timbangan Bayi Digital,Diagnostik,1587000.0,Salah Input Sistem,Klinik,Jakarta Pusat,4107875.0
RT00034,009950,C006,RSS075,2024-09-04,Infus Set Anak,Consumable,202500.0,Salah Input Sistem,RS Swasta,Jakarta Barat,4107875.0
RT00002,009510,B014,RSP030,2024-07-21,Duk Operasi 80x90cm,Bedah & Tindakan,1067000.0,Salah Pesan Customer,RS Pemerintah,Bekasi,4107875.0
RT00018,009749,D002,RSS018,2024-09-19,Tensimeter Manual Dewasa,Diagnostik,1908000.0,Salah Input Sistem,RS Swasta,Depok,4107875.0
RT00056,010158,D002,KLN073,2024-11-10,Tensimeter Manual Dewasa,Diagnostik,469000.0,Salah Pesan Customer,Klinik,Jakarta Barat,4107875.0
RT00036,009969,B009,RSS026,2024-04-25,Benang Catgut 2-0,Bedah & Tindakan,5537000.0,Salah Pesan Customer,RS Swasta,Jakarta Utara,4107875.0
RT00040,010023,C005,KLN036,2024-12-05,Infus Set Dewasa,Consumable,84000.0,Salah Pesan Customer,Klinik,Jakarta Selatan,4107875.0
