invoice_id,so_id,no_urut,nama_produk,qty_delivered,unit_price,total
009501,SO240001,1,Klem Arteri Bengkok,36,160000,5760000
009501,SO240001,2,Selimut Pasien Rumah Sakit,34,70000,2380000
009501,SO240001,3,IV Catheter 22G,18,205000,3690000
009501,SO240001,4,Handscoon Steril 6.5,41,311500,12771500
009502,SO240001,1,Klem Arteri Bengkok,43,160000,6880000
009502,SO240001,2,Selimut Pasien Rumah Sakit,40,70000,2800000
009502,SO240001,3,IV Catheter 22G,22,205000,4510000
009502,SO240001,4,Handscoon Steril 6.5,48,311500,14952000
009503,SO240002,1,Rapid Test HIV,82,423000,34686000
009503,SO240002,2,IV Catheter 22G,132,237500,31350000
009503,SO240002,3,Infus Set Anak,97,9500,921500
009503,SO240002,4,Pinset Bedah 14cm,23,56500,1299500
009503,SO240002,5,Pulse Oximeter,132,210000,27720000
009504,SO240003,1,Spalk Lengan Anak,94,30000,2820000
009504,SO240003,2,Sarung Bantal Pasien,95,27500,2612500
009504,SO240003,3,Holder Vacutainer,81,105000,8505000
009504,SO240003,4,Handscoon Steril 6.5,71,396000,28116000
009505,SO240003,1,Spalk Lengan Anak,67,30000,2010000
009505,SO240003,2,Sarung Bantal Pasien,68,27500,1870000
009505,SO240003,3,Holder Vacutainer,58,105000,6090000
009505,SO240003,4,Handscoon Steril 6.5,51,396000,20196000
009506,SO240004,1,Syringe 20ml,82,88000,7216000
009506,SO240004,2,Tabung Vacutainer Plain,54,149500,8073000
009506,SO240004,3,Syringe 5 ml,80,57500,4600000
009507,SO240004,1,Syringe 20ml,71,88000,6248000
009507,SO240004,2,Tabung Vacutainer Plain,48,149500,7176000
009507,SO240004,3,Syringe 5ml,70,57500,4025000
009508,SO240005,1,Handscoon Steril 7.5,163,290500,47351500
009509,SO240006,1,Masker Bedah 3-Ply,130,52000,6760000
009509,SO240006,2,Tensimeter Digital Lengan,176,466000,82016000
009510,SO240007,1,Duk Operasi 80x90cm,94,48500,4559000
009510,SO240007,2,Syringe 10ml,187,71000,13277000
009511,SO240008,1,Kursi Roda Standar,69,2127000,146763000
009511,SO240008,2,Benang Catgut 2-0,9,303500,2731500
009511,SO240008,3,Infus Set Anak,31,12500,387500
009511,SO240008,4,Stethoscope Dewasa,17,255500,4343500
009512,SO240008,1,Kursi Roda Standar,52,2127000,110604000
009512,SO240008,2,Benang Catgut 2-0,7,303500,2124500
009512,SO240008,3,Infus Set Anak,24,12500,300000
009512,SO240008,4,Stethoscope Dewasa,13,255500,3321500
009513,SO240009,1,Spalk Lengan Anak,130,24000,3120000
009513,SO240009,2,Bantal Angin Anti Decubitus,126,324500,40887000
